role,years_experience,data_tool
Data Analytics/Business Intelligence,5+ years,dbeaver
Data Analytics/Business Intelligence,5+ years,atom
Data Analytics/Business Intelligence,5+ years,tableau
Data Analytics/Business Intelligence,5+ years,visual studio code
Data Engineering,5+ years,rstudio
Data Engineering,5+ years,excel
Data Engineering,5+ years,tableau
Data Engineering,5+ years,alteryx
Data Science,5+ years,juicebox
Data Science,5+ years,excel
Data Science,5+ years,tableau
Data Science,5+ years,pycharm
Data Science,5+ years,jupyter-notebooks
Other,0 to 2 years,looker
Other,0 to 2 years,atom
Data Science,5+ years,excel
Data Science,5+ years,visual studio code
Data Analytics/Business Intelligence,5+ years,excel
Data Analytics/Business Intelligence,5+ years,qlik
Data Analytics/Business Intelligence,5+ years,powerbi
Data Analytics/Business Intelligence,5+ years,visual studio code
Data Analytics/Business Intelligence,0 to 2 years,aws quicksight
Data Analytics/Business Intelligence,0 to 2 years,excel
Data Analytics/Business Intelligence,0 to 2 years,dbeaver
Data Analytics/Business Intelligence,0 to 2 years,aws athena
Data Analytics/Business Intelligence,0 to 2 years,sublime
Data Science,5+ years,excel
Data Science,5+ years,powerbi
Data Science,5+ years,looker
Data Science,5+ years,juicebox
Data Science,5+ years,tableau
Data Science,5+ years,dbeaver
Data Analytics/Business Intelligence,5+ years,pycharm
Data Science,0 to 2 years,atom
Data Science,0 to 2 years,visual studio code
Data Analytics/Business Intelligence,0 to 2 years,tableau
Data Analytics/Business Intelligence,0 to 2 years,powerbi
Data Science,2 to 5 years,excel
Data Science,2 to 5 years,sqlanalytics
Data Science,2 to 5 years,powerbi
Data Science,2 to 5 years,tableau
Machine Learning Engineering,5+ years,excel
Machine Learning Engineering,5+ years,powerbi
Machine Learning Engineering,5+ years,databricks
Machine Learning Engineering,5+ years,visual studio code
Machine Learning Engineering,5+ years,dbeaver
Data Science,5+ years,jupyter-notebooks
Other,5+ years,atom
Other,5+ years,excel
Data Analytics/Business Intelligence,2 to 5 years,datagrip
Other,0 to 2 years,excel
Machine Learning Engineering,2 to 5 years,visual studio code
Data Engineering,0 to 2 years,atom
Data Engineering,0 to 2 years,excel
Data Engineering,0 to 2 years,tableau
Data Engineering,0 to 2 years,datagrip
Data Analytics/Business Intelligence,2 to 5 years,excel
Data Analytics/Business Intelligence,2 to 5 years,tableau
Data Science,0 to 2 years,looker
Data Science,0 to 2 years,tableau
Data Science,0 to 2 years,powerbi
Data Science,0 to 2 years,visual studio code
Other,0 to 2 years,excel
Other,5+ years,pycharm
Other,5+ years,ultraedit
Other,5+ years,excel
Other,5+ years,tableau
Machine Learning Engineering,5+ years,excel
Machine Learning Engineering,5+ years,powerbi
Machine Learning Engineering,5+ years,rstudio
Machine Learning Engineering,5+ years,visual studio code
Machine Learning Engineering,5+ years,dbeaver
