role,years_experience,programming_package,count
Data Analytics/Business Intelligence,0 to 2 years,matplotlib,1
Data Analytics/Business Intelligence,0 to 2 years,numpy,1
Data Analytics/Business Intelligence,0 to 2 years,pandas,1
Data Analytics/Business Intelligence,5+ years,dask,1
Data Analytics/Business Intelligence,5+ years,ipython,1
Data Analytics/Business Intelligence,5+ years,jupyter,1
Data Analytics/Business Intelligence,5+ years,matplotlb,1
Data Analytics/Business Intelligence,5+ years,matplotlib,1
Data Analytics/Business Intelligence,5+ years,numpy,1
Data Analytics/Business Intelligence,5+ years,os,1
Data Analytics/Business Intelligence,5+ years,pandas,3
Data Analytics/Business Intelligence,5+ years,plotly,1
Data Analytics/Business Intelligence,5+ years,scipy,1
Data Analytics/Business Intelligence,5+ years,seaborn,2
Data Analytics/Business Intelligence,5+ years,tidyverse,1
Data Engineering,5+ years,tidyverse,1
Data Science,0 to 2 years,dbt,1
Data Science,0 to 2 years,dplyr,1
Data Science,0 to 2 years,numpy,1
Data Science,0 to 2 years,pandas,2
Data Science,0 to 2 years,scikit-learn,1
Data Science,2 to 5 years,etc,1
Data Science,2 to 5 years,ggplot,1
Data Science,2 to 5 years,numpy,1
Data Science,2 to 5 years,pandas,1
Data Science,5+ years,gensim,1
Data Science,5+ years,ggplot2,1
Data Science,5+ years,jupyter,1
Data Science,5+ years,matplotlib,1
Data Science,5+ years,nltk,1
Data Science,5+ years,pandas,3
Data Science,5+ years,scipy,1
Data Science,5+ years,sf,1
Data Science,5+ years,spacy,1
Data Science,5+ years,sqlalchemy,1
Data Science,5+ years,tidyverse,1
Machine Learning Engineering,2 to 5 years,boto3,1
Machine Learning Engineering,2 to 5 years,dvc,1
Machine Learning Engineering,2 to 5 years,kedro,1
Machine Learning Engineering,2 to 5 years,keras,1
Machine Learning Engineering,2 to 5 years,matplotlib,1
Machine Learning Engineering,2 to 5 years,mlflow,1
Machine Learning Engineering,2 to 5 years,numpy,1
Machine Learning Engineering,2 to 5 years,optuna,1
Machine Learning Engineering,2 to 5 years,pandas,1
Machine Learning Engineering,2 to 5 years,pytorch,1
Machine Learning Engineering,2 to 5 years,scikit-learn,1
Machine Learning Engineering,2 to 5 years,seaborn,1
Machine Learning Engineering,2 to 5 years,tensorflow,1
Machine Learning Engineering,5+ years,numpy,1
Machine Learning Engineering,5+ years,pandas,1
Machine Learning Engineering,5+ years,tidyverse,2
Other,0 to 2 years,apex,1
Other,0 to 2 years,java,1
Other,5+ years,bokeh,1
Other,5+ years,d3.js,1
Other,5+ years,fastai,1
Other,5+ years,keras,1
Other,5+ years,numba,1
Other,5+ years,numpy,1
Other,5+ years,plotly,1
Other,5+ years,pytorch,1
Other,5+ years,vis.js,1
